Treebank,Number of Sentences,Failures,iobj,case,obl,obj,expl,amod,det,conj,nmod,orphan,appos,root,flat:name,Total,advcl,parataxis,dislocated,mark,fixed,nummod,list,nsubj,ccomp,acl,compound:redup,csubj,xcomp,nmod:obl,nmod:att,compound:lvc,flat,compound,nmod:poss,cop,obl:arg,dep,expl:pv,reparandum,nsubj:pass,csubj:pass,obl:agent,det:poss,nmod:arg,amod:flat,det:nummod,parataxis:obj,obl:cmpr,acl:relcl,flat:foreign,flat:title,flat:abs,flat:repeat,advcl:ccomp,advcl:fin,obl:benef,acl:ptcp,acl:attr,nmod:appos,obl:goal,compound:name,advcl:caus,advcl:manner,obl:source,obl:tmod,acl:dpct,obl:soc,obl:manner,obl:lmod,obl:instr,xcomp:result,advcl:cond,discourse,nummod:gov,det:numgov,obl:float,aux:pass,obl:depict,advcl:abs,advcl:pred,obl:cmp,advcl:cmp,advmod,compound:prt,aux,vocative,nmod:tmod,clf,_,expl:poss,obl:pmod,expl:impers,expl:pass,nsubj:outer,nmod:npmod,case:loc,flat:range,advcl:tcl,orphan:missing,dislocated:obl,dislocated:nsubj,nmod:comp,xcomp:pred,iobj:agent,compound:svc,cc,parataxis:discourse,conj:expl,advcl:relcl,aux:caus,obl:smod,nsubj:nc,nmod:cau,ccomp:relcl,appos:trans,nmod:flat,nummod:entity
kk_ktb-ud-train,31,0,,,15.0,,,,,,,,,,,19,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ha_northernautogramm-ud-test,400,0,28.0,14.0,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,,954.0,697.0,,,651.0,125.0,154.0,280.0,7.0,18.0,33.0,,4671,7.0,1.0,,,53.0,13.0,,15.0,2.0,,,1.0,4.0,,,,62.0,2.0,,,1304.0,19.0,181.0,,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,64.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,,961.0,647.0,,,631.0,120.0,150.0,289.0,10.0,13.0,24.0,,4510,5.0,,,2.0,38.0,12.0,,11.0,4.0,,,1.0,3.0,,,,38.0,1.0,,,1250.0,33.0,189.0,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,57.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,,7025.0,4505.0,,,4413.0,855.0,1028.0,2208.0,69.0,108.0,180.0,,32232,37.0,3.0,,4.0,262.0,106.0,,104.0,20.0,9.0,,2.0,21.0,,,,400.0,9.0,,,8683.0,166.0,1397.0,,1.0,,,,,,18.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,118.0,1.0,,,,,,,,,,,,,,,450.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
gl_pud-ud-test,1000,0,33.0,,,,13.0,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,,,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,20.0,,47.0,,,,,1.0,1.0,,,3.0,,147,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,
ota_dudu-ud-test,85,0,2.0,,33.0,,,1.0,,2.0,3.0,,,2.0,,49,,,,,,,,,1.0,,,,2.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,,,187.0,,,,,7.0,19.0,2.0,,1.0,,247,5.0,1.0,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
ug_udt-ud-dev,900,0,,,199.0,4.0,,1.0,,9.0,20.0,1.0,,,,263,3.0,,,,,,,4.0,,,,,2.0,,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
ug_udt-ud-train,1656,0,1.0,,388.0,2.0,,,,15.0,44.0,,1.0,1.0,,484,2.0,,,,,,,,,,,,4.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
lv_lvtb-ud-test,2412,0,485.0,,479.0,,,176.0,104.0,121.0,176.0,8.0,7.0,25.0,13.0,1750,1.0,1.0,,,,20.0,,67.0,3.0,7.0,,3.0,12.0,,,,2.0,8.0,,,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-train,14358,0,3208.0,,3157.0,,,1384.0,700.0,761.0,1292.0,32.0,36.0,66.0,58.0,11875,4.0,15.0,,,,182.0,,579.0,19.0,34.0,,4.0,67.0,,,,1.0,30.0,,,,37.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-dev,2080,0,425.0,,437.0,,,154.0,77.0,111.0,172.0,11.0,6.0,9.0,11.0,1576,4.0,1.0,,,,24.0,,67.0,2.0,6.0,,,12.0,,,,,12.0,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-train,400,0,,,45.0,,,,,2.0,5.0,,,,,122,11.0,,,,,,,6.0,,1.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,,,8.0,,,,,,1.0,,,,,19,1.0,,,,,,,1.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,,,20.0,,,,,2.0,4.0,,,,,39,,,,,,,,2.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sga_dipwbg-ud-test,34,0,,,9.0,,,,,,2.0,,,1.0,,13,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,8.0,,2.0,,,8.0,,,,,,1.0,,20,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,114.0,,89.0,,,62.0,18.0,17.0,85.0,,5.0,,12.0,452,,14.0,,,24.0,3.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,,,5.0,,,25.0,50.0,14.0,42.0,3.0,,3.0,,438,9.0,,,,,,,,9.0,7.0,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,,,14.0,,,29.0,26.0,3.0,26.0,1.0,,2.0,,378,8.0,,,,,,,,8.0,11.0,,,,,,,1.0,,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,,,152.0,,,542.0,438.0,231.0,587.0,61.0,2.0,34.0,,6211,75.0,1.0,,,,8.0,,,108.0,164.0,,1.0,,,,,9.0,,,,3711.0,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,1.0,,,
nl_alpino-ud-train,12289,0,,,,,,,,,,,,,,4,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,17.0,4.0,323.0,4.0,,14.0,135.0,16.0,36.0,2.0,4.0,10.0,,632,7.0,10.0,2.0,,3.0,,,,4.0,1.0,,,9.0,,,,,4.0,,,,,14.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
qtd_sagt-ud-dev,801,0,15.0,8.0,282.0,10.0,,14.0,132.0,24.0,53.0,3.0,1.0,7.0,,631,6.0,5.0,5.0,1.0,,,,,8.0,1.0,,,4.0,,,,4.0,17.0,,,,,18.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
qtd_sagt-ud-train,578,0,29.0,2.0,222.0,10.0,,11.0,102.0,15.0,35.0,,,2.0,,474,5.0,3.0,,,,,,,5.0,,1.0,,5.0,,,,1.0,5.0,,,,,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_cadhan-ud-test,193,0,,,41.0,,,1.0,,3.0,23.0,,,1.0,,83,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,104.0,,13.0,,,19.0,2.0,4.0,6.0,,5.0,1.0,,194,,,,,,1.0,,,,12.0,,,,,,,8.0,,,,4.0,,9.0,,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
orv_torot-ud-test,2955,0,,,325.0,3.0,,107.0,116.0,114.0,87.0,38.0,58.0,30.0,7.0,1644,91.0,,8.0,,4.0,7.0,,192.0,,15.0,,,7.0,,,,,,,11.0,406.0,,5.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-dev,3061,0,,,445.0,2.0,,142.0,138.0,153.0,120.0,50.0,69.0,38.0,17.0,1953,93.0,1.0,2.0,,3.0,4.0,,183.0,5.0,12.0,,,3.0,,,,,,,16.0,445.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-train,20480,0,,,2481.0,27.0,,726.0,868.0,754.0,640.0,280.0,397.0,152.0,128.0,11340,502.0,5.0,23.0,,30.0,27.0,,1053.0,18.0,108.0,,3.0,38.0,,,,,,,127.0,2809.0,,35.0,,41.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,47.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-dev,603,0,,85.0,42.0,,,67.0,10.0,34.0,35.0,,7.0,,,375,,,,,3.0,1.0,,,,,,,,,,,,,,,78.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,,3131.0,1835.0,,,1905.0,374.0,792.0,1083.0,23.0,53.0,49.0,,13373,15.0,2.0,,1.0,167.0,24.0,,53.0,5.0,1.0,,,20.0,,,,48.0,1.0,,,3207.0,55.0,491.0,,,,,,,,8.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-test,628,0,,85.0,44.0,,,40.0,11.0,19.0,22.0,1.0,1.0,1.0,,323,,,,,2.0,2.0,,3.0,,,,,,,,,1.0,,,,75.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,3.0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,479.0,,57.0,,,59.0,39.0,29.0,22.0,,6.0,,,745,16.0,,,,,,,2.0,,,,,,,,,25.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,150.0,,15.0,,,26.0,5.0,15.0,10.0,1.0,2.0,,,239,5.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,158.0,,16.0,,,14.0,12.0,6.0,10.0,,1.0,,,232,6.0,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eme_tudet-ud-test,913,0,,,32.0,,,,,,2.0,,,5.0,,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,154.0,,9.0,,,17.0,7.0,7.0,1.0,,,,,207,,,,,,,,,,2.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,1025.0,,106.0,,,48.0,36.0,11.0,9.0,,2.0,,,1279,,,,,,5.0,,,,11.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,145.0,,9.0,,,6.0,2.0,2.0,2.0,,,,,168,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,,9.0,434.0,226.0,,21.0,,13.0,405.0,,,33.0,,1319,71.0,3.0,,,2.0,,,13.0,10.0,4.0,,,3.0,,,,4.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-dev,2166,0,,,61.0,33.0,,,,3.0,11.0,,,3.0,,172,47.0,1.0,,,,,,2.0,,2.0,,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-test,2191,0,,,79.0,48.0,,2.0,,,11.0,,,7.0,,196,42.0,,,,2.0,,,2.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,,51.0,56.0,,,16.0,7.0,4.0,8.0,,2.0,,,233,2.0,,,,,,,,,,,,,,,,,,,,81.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-test,601,0,47.0,,77.0,3.0,,45.0,6.0,14.0,27.0,2.0,7.0,1.0,6.0,248,,5.0,,,4.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-dev,579,0,43.0,,64.0,1.0,,34.0,8.0,5.0,41.0,2.0,1.0,,1.0,206,,,,,,1.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,340.0,,448.0,15.0,,293.0,34.0,112.0,304.0,5.0,43.0,8.0,22.0,1711,,8.0,,,4.0,29.0,,5.0,,36.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
aqz_tudet-ud-test,343,0,,,4.0,,,,,,,,,1.0,,10,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,202.0,18.0,703.0,146.0,,61.0,,97.0,193.0,,1.0,67.0,,1712,22.0,2.0,,,,2.0,,10.0,7.0,31.0,26.0,2.0,2.0,,,5.0,25.0,79.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,47.0,2.0,236.0,43.0,,23.0,,23.0,65.0,,,13.0,,526,6.0,,,,,1.0,,1.0,2.0,6.0,5.0,,1.0,,,6.0,13.0,29.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,62.0,9.0,236.0,32.0,,27.0,,19.0,47.0,,,25.0,,511,5.0,1.0,,,,,,1.0,5.0,6.0,2.0,1.0,,,,1.0,6.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_cairo-ud-test,20,0,2.0,,4.0,,,,2.0,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_btb-ud-train,8907,0,368.0,,3.0,,280.0,,1.0,,2.0,,,,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_btb-ud-test,1116,0,51.0,,,,33.0,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,54.0,,,,44.0,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,3.0,,,1.0,,,,,,,,,,5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-train,19,0,,,1.0,,,,,,1.0,,,,,3,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,18.0,,4.0,41.0,,1.0,2.0,13.0,328.0,,,34.0,,504,23.0,6.0,,,4.0,,,7.0,2.0,1.0,,2.0,,,,,9.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,2.0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_coser-ud-test,539,0,,,2.0,43.0,,,,,,,,,,119,,1.0,,,,,,,,,,,,,,,,,,,60.0,,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,17.0,,346.0,40.0,,8.0,,26.0,20.0,,1.0,20.0,,562,8.0,,,,,,,2.0,30.0,5.0,7.0,1.0,1.0,,,5.0,10.0,9.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,23.0,,306.0,41.0,,13.0,,27.0,14.0,1.0,,22.0,,546,14.0,,,,,,,,30.0,10.0,6.0,3.0,,,,6.0,9.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,169.0,7.0,2615.0,433.0,,55.0,,215.0,113.0,4.0,4.0,149.0,,4451,91.0,5.0,,,,2.0,,13.0,217.0,57.0,41.0,14.0,20.0,,,21.0,66.0,87.0,29.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,2.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-dev,622,0,,1.0,112.0,17.0,,3.0,,,25.0,,,,,198,4.0,,,,,,,,3.0,1.0,,,,,,,3.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,1.0,,148.0,25.0,,9.0,,6.0,43.0,,,1.0,,301,4.0,,,,,2.0,,4.0,9.0,1.0,,,,,,,4.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,22.0,40.0,2398.0,825.0,,129.0,,105.0,569.0,,5.0,15.0,,5408,75.0,,,,5.0,27.0,2.0,40.0,277.0,20.0,,4.0,71.0,,,,54.0,715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
